"id","DC_FC_Assets_Type","DC_FC_Assets_Name","SQL_FC_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Account_Year","SQL_Property","updated_at"
"18","UTILITIES","TOTAL UTILITIES","FC_total_utilities_acwla_1_9_utilities","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_total_utilities_acwla_1_9_utilities","44858.22","49102.05","48047.03","52266.10","32732.39","38838.05","49380.80","54175.19","47970.88","46883.34","47931.87","49391.11","561577.03","2024","AC Wailea","2024-12-21 12:15:02"
"19","PROP OPERATIONS & MAINT","TOTAL PO&M","FC_total_pom_acwla_1_9_prop_operations_and_maint","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_total_pom_acwla_1_9_prop_operations_and_maint","70881.16","53222.09","62229.70","55134.51","57171.80","58663.88","54143.85","54705.91","54575.22","59479.43","57166.47","55294.23","692668.25","2024","AC Wailea","2024-12-21 12:15:02"
"20","SALES & MKT","TOTAL SALES & MKT","FC_total_sales_and_mkt_acwla_1_9_sales_and_mkt","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"FC_total_sales_and_mkt_acwla_1_9_sales_and_mkt","112370.11","84349.07","108800.83","72568.19","62599.88","102971.86","82408.45","71287.20","74481.84","78816.90","82764.98","84335.34","1017754.65","2024","AC Wailea","2024-12-21 12:15:02"
"21","OPERATING RESULTS","GROSS OPERATING PROFIT","FC_gross_operating_profit_acwla_1_9_operating_results","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_acwla_1_9_operating_results","898099.38","927253.34","802419.47","1116986.97","716306.94","727583.97","971204.82","787452.32","601274.38","606911.19","659632.80","948225.69","9763351.27","2024","AC Wailea","2024-12-21 12:15:02"
"22","OPERATING RESULTS","TOTAL MANAGEMENT FEES","FC_total_management_fees_acwla_1_9_operating_results","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_total_management_fees_acwla_1_9_operating_results","98670.59","102314.25","76376.91","164488.12","51502.86","131738.86","109591.51","98036.25","80452.43","87099.22","89085.71","110225.02","1199581.73","2024","AC Wailea","2024-12-21 12:15:02"
"23","NON-OP INC & EXP DETAIL","Real Estate Tax","FC_real_estate_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_real_estate_tax_acwla_1_9_non-op_inc_and_exp_detail","46169.28","46169.28","46169.28","46169.28","46169.28","46169.25","44930.19","47446.35","46188.27","44930.19","44930.19","44930.19","550371.03","2024","AC Wailea","2024-12-21 12:15:02"
"24","NON-OP INC & EXP DETAIL","Property Tax","FC_property_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_tax_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"25","NON-OP INC & EXP DETAIL","Prior Year Adj Tax","FC_prior_year_adj_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_prior_year_adj_tax_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"26","NON-OP INC & EXP DETAIL","Guest Accidents","FC_guest_accidents_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_guest_accidents_acwla_1_9_non-op_inc_and_exp_detail","0.00","50.00","-98.39","0.00","-51.61","0.00","1100.00","-100.00","0.00","0.00","0.00","0.00","900.00","2024","AC Wailea","2024-12-21 12:15:02"
"27","NON-OP INC & EXP DETAIL","Casualty Insurance","FC_casualty_insurance_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_casualty_insurance_acwla_1_9_non-op_inc_and_exp_detail","4816.87","4517.29","4533.93","5115.28","3795.88","4010.39","4696.78","4201.55","3447.96","3827.77","3915.07","4844.08","51722.85","2024","AC Wailea","2024-12-21 12:15:02"
"28","NON-OP INC & EXP DETAIL","Land Rent","FC_land_rent_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_land_rent_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"29","NON-OP INC & EXP DETAIL","Chain Services","FC_chain_services_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_chain_services_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"30","NON-OP INC & EXP DETAIL","Lease Payments","FC_lease_payments_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_lease_payments_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","978.85","335.67","389.39","337.18","300.00","300.00","300.00","2941.09","2024","AC Wailea","2024-12-21 12:15:02"
"31","NON-OP INC & EXP DETAIL","Property Insurance","FC_property_insurance_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_property_insurance_acwla_1_9_non-op_inc_and_exp_detail","32261.46","32261.46","32261.46","31769.60","31769.60","31769.60","31769.60","31769.60","31769.60","35165.00","35165.00","35165.00","392896.98","2024","AC Wailea","2024-12-21 12:15:02"
"32","NON-OP INC & EXP DETAIL","Prior Year Adjustment","FC_prior_year_adjustment_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_prior_year_adjustment_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"33","NON-OP INC & EXP DETAIL","Loan Repayment - Principal","FC_loan_repayment_principal_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_loan_repayment_principal_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"34","NON-OP INC & EXP DETAIL","Loan Repayment - Interest","FC_loan_repayment_interest_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_loan_repayment_interest_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"35","NON-OP INC & EXP DETAIL","Other Investment Factors","FC_other_investment_factors_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_other_investment_factors_acwla_1_9_non-op_inc_and_exp_detail","8900.51","10105.48","8747.76","10563.57","11059.35","10077.47","9515.79","10683.52","5208.52","8380.54","8586.78","6017.96","107847.25","2024","AC Wailea","2024-12-21 12:15:02"
"36","NON-OP INC & EXP DETAIL","EBITDA","FC_ebitda_acwla_1_9_non-op_inc_and_exp_detail","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_ebitda_acwla_1_9_non-op_inc_and_exp_detail","707280.67","731193.64","634428.54","858881.08","572061.59","502839.57","660952.03","594983.84","433870.40","427208.47","477650.05","746743.44","7348093.32","2024","AC Wailea","2024-12-21 12:15:02"
"37","NON-OP INC & EXP DETAIL","REPLACEMENT RESERVE","FC_replacement_reserve_acwla_1_9_non-op_inc_and_exp_detail","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve",,,,,"FC_replacement_reserve_acwla_1_9_non-op_inc_and_exp_detail","80281.20","75288.11","75565.47","85254.76","63264.68","66839.77","78279.64","70025.89","57466.02","62213.73","63632.65","78732.15","856844.07","2024","AC Wailea","2024-12-21 12:15:02"
"38","NON-OP INC & EXP DETAIL","Retained Profit/(Loss)","FC_retained_profit_loss_acwla_1_9_non-op_inc_and_exp_detail","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_retained_profit_loss_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","364994.74","414017.40","668011.29","1447023.43","2024","AC Wailea","2024-12-21 12:15:02"
"39",,"Total Operating Income","calc_FC_total_operating_income_acwla_1_9","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_acwla_1_9","1605624.08","1505762.28","1511309.50","1705095.13","1265293.70","1336795.34","1565592.74","1400517.83","1149320.37","1244274.64","1272652.99","1574643.10","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"40",,"Total Department Expense","calc_FC_total_department_expense_acwla_1_9","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_acwla_1_9","335979.44","269595.19","310757.31","264165.61","267183.78","280465.29","288489.48","294789.68","246057.84","299948.17","304031.09","307213.84","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"41",,"Department Profit (Loss)","calc_FC_department_profit_loss_acwla_1_9","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_acwla_1_9","1269644.64","1236167.09","1200552.19","1440929.52","998109.92","1056330.05","1277103.26","1105728.15","903262.53","944326.47","968621.90","1267429.26","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"42",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_acwla_1_9","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_acwla_1_9","371545.26","308913.75","398132.72","323942.55","281802.98","328746.08","305898.44","318275.83","301988.15","337415.28","308989.10","319203.57","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"43",,"GOP Margin","calc_FC_gop_margin_acwla_1_9","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_acwla_1_9","55.93","61.58","53.09","65.51","56.61","54.43","62.03","56.23","52.32","48.78","51.83","60.22","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"44",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_acwla_1_9","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_acwla_1_9","799428.79","824939.09","726042.56","952498.85","664804.08","595845.11","861613.31","689416.07","520821.95","519811.97","570547.09","838000.67","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"45",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_acwla_1_9","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_acwla_1_9","92148.12","93745.45","91614.02","93617.77","92742.49","93005.54","92348.02","94432.23","86951.55","92603.50","92897.04","91257.23","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"46",,"NOI Margin","calc_FC_noi_margin_acwla_1_9","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_acwla_1_9","39.05","43.56","36.98","45.37","40.21","32.62","37.22","37.48","32.75","29.33","32.53","42.42","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"47",,"AVAILABLE ROOMS","FC_available_rooms_ctyrd_5_1","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_available_rooms_ctyrd_5_1","9734.00","9106.00","9734.00","9420.00","9734.00","9420.00","9734.00","9734.00","9420.00","9734.00","9420.00","9734.00","114924.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"48",,"OCCUPIED ROOMS","FC_occupied_rooms_ctyrd_5_1","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_occupied_rooms_ctyrd_5_1","4035.00","6820.00","8267.00","8155.00","8012.00","7893.00","7923.00","8086.00","7537.00","7701.00","6803.00","6571.00","87803.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"49",,"OCCUPANCY %","FC_occupancy_ctyrd_5_1","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_ctyrd_5_1","41.50","74.90","84.90","86.60","82.30","83.80","81.40","83.10","80.00","79.10","72.20","67.50","76.40","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"50",,"ADR","FC_adr_ctyrd_5_1","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_adr_ctyrd_5_1","188.96","177.32","170.52","166.08","189.02","172.03","178.43","176.58","200.09","203.38","197.20","194.21","183.84","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"51",,"REV PAR","FC_rev_par_ctyrd_5_1","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_rev_par_ctyrd_5_1","78.33","132.81","144.82","143.78","155.58","144.15","145.23","146.69","160.09","160.90","142.41","131.10","140.45","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"52","REVENUE","ROOMS","FC_rooms_ctyrd_5_1_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_ctyrd_5_1_revenue","762434.00","1209352.00","1409700.00","1354397.00","1514401.00","1357851.00","1413691.00","1427838.00","1508054.00","1566198.00","1341549.00","1276171.00","16141636.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"53","REVENUE","FOOD & BEVERAGE","FC_food_and_beverage_ctyrd_5_1_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_food_and_beverage_ctyrd_5_1_revenue","43059.00","63184.00","73030.00","72362.00","91620.00","73033.00","102246.00","99883.00","98331.00","102081.00","89298.00","89869.00","997996.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"54","REVENUE","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_ctyrd_5_1_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_operated_departments_ctyrd_5_1_revenue","40027.00","76630.00","106652.00","94934.00","109329.00","145145.00","125177.00","128882.00","120141.00","122752.00","108456.00","104762.00","1282889.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"55","DEPARTMENT EXPENSES","ROOMS","FC_rooms_ctyrd_5_1_department_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense",,,,,"FC_rooms_ctyrd_5_1_department_expenses","216043.00","257318.00","278207.00","280067.00","311095.00","238996.00","273844.00","267917.00","270754.00","269828.00","259171.00","256492.00","3179730.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"56","DEPARTMENT EXPENSES","FOOD & BEVERAGE","FC_food_and_beverage_ctyrd_5_1_department_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_food_and_beverage_ctyrd_5_1_department_expenses","110052.00","90971.00","69285.00","87322.00","93814.00","92309.00","106285.00","105707.00","104228.00","104013.00","99870.00","100297.00","1164152.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"57","DEPARTMENT EXPENSES","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_ctyrd_5_1_department_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_other_operated_departments_ctyrd_5_1_department_expenses","2688.00","4241.00","4038.00","1156.00","5348.00","3045.00","5170.00","5786.00","5393.00","5510.00","4868.00","4702.00","51943.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"58","UNDISTRIBUTED OPERATING EXPENSES","ADMINISTRATIVE & GENERAL","FC_administrative_and_general_ctyrd_5_1_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_administrative_and_general_ctyrd_5_1_undistributed_operating_expenses","67475.00","76577.00","83983.00","100925.00","99007.00","99561.00","101150.00","100244.00","100800.00","109776.00","97065.00","97220.00","1133781.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"59","UNDISTRIBUTED OPERATING EXPENSES","INFORMATION & TELECOMMUNICATIONS","FC_information_and_telecommunications_ctyrd_5_1_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_information_and_telecommunications_ctyrd_5_1_undistributed_operating_expenses","29910.00","30573.00","34500.00","25617.00","43953.00","37719.00","33245.00","33758.00","32029.00","32545.00","29717.00","28986.00","392552.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"60","UNDISTRIBUTED OPERATING EXPENSES","SALES & MARKETING","FC_sales_and_marketing_ctyrd_5_1_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing",,,,,"FC_sales_and_marketing_ctyrd_5_1_undistributed_operating_expenses","144447.00","183430.00","211009.00","215737.00","236675.00","216998.00","212083.00","208843.00","218561.00","221622.00","203192.00","183379.00","2455977.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"61","UNDISTRIBUTED OPERATING EXPENSES","PROPERTY OPERATIONS & MAINTENANCE","FC_property_operations_and_maintenance_ctyrd_5_1_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_property_operations_and_maintenance_ctyrd_5_1_undistributed_operating_expenses","55654.00","55256.00","57941.00","70251.00","66340.00","74458.00","75887.00","73313.00","78478.00","74052.00","73483.00","77882.00","832994.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"62","UNDISTRIBUTED OPERATING EXPENSES","UTILITIES","FC_utilities_ctyrd_5_1_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_utilities_ctyrd_5_1_undistributed_operating_expenses","55777.00","44857.00","50271.00","35971.00","37217.00","37958.00","66157.00","85712.00","68587.00","48901.00","43199.00","36798.00","611403.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"63","UNDISTRIBUTED OPERATING EXPENSES","GROSS OPERATING PROFIT","FC_gross_operating_profit_ctyrd_5_1_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_ctyrd_5_1_undistributed_operating_expenses","163473.00","605944.00","800149.00","704648.00","821677.00","775212.00","767295.00","775324.00","847697.00","924784.00","728738.00","685048.00","8599988.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"64","UNDISTRIBUTED OPERATING EXPENSES","MANAGEMENT FEES","FC_management_fees_ctyrd_5_1_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_management_fees_ctyrd_5_1_undistributed_operating_expenses","25366.00","40475.00","47681.00","45618.00","51461.00","47286.00","49233.00","49698.00","51796.00","53731.00","46179.00","44124.00","552648.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
