"id","DC_BD_Assets_Type","DC_BD_Assets_Name","SQL_BD_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Por_Per_Rev","Account_Year","SQL_Property","updated_at"
"16","PROP OPERATIONS & MAINT","TOTAL PO&M","BD_total_pom_acwla_1_9_prop_operations_and_maint","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.1","Property Operations & Maintenance",,,"BD_total_pom_acwla_1_9_prop_operations_and_maint","57241.34","52746.54","60117.25","58552.22","62333.16","67344.96","58856.25","57405.73","63693.76","58181.60","57063.93","55457.16","708993.88","17.61","2024","AC Wailea","2024-12-21 12:15:02"
"17","SALES & MKT","TOTAL SALES & MKT.","BD_total_sales_and_mkt._acwla_1_9_sales_and_mkt","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_total_sales_and_mkt._acwla_1_9_sales_and_mkt","111767.36","87669.74","113806.03","86325.98","74154.42","98968.21","87618.86","84465.81","95797.30","81419.12","80993.13","87017.40","1090003.36","0.06","2024","AC Wailea","2024-12-21 12:15:02"
"18","OPERATING RESULTS","GROSS OPERATING PROFIT","BD_gross_operating_profit_acwla_1_9_operating_results","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_acwla_1_9_operating_results","777647.38","928731.36","830897.93","842757.59","677256.03","656552.06","906234.44","931515.10","623654.70","679645.69","697473.29","1139514.58","9691880.16","0.55","2024","AC Wailea","2024-12-21 12:15:02"
"19","OPERATING RESULTS","TOTAL MANAGEMENT FEES","BD_total_management_fees_acwla_1_9_operating_results","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13","Management Fees",,,"BD_total_management_fees_acwla_1_9_operating_results","87353.54","134828.47","83345.19","66855.88","68197.76","94142.53","108534.80","110286.29","87216.76","94275.85","92567.76","124912.23","1152517.05","0.07","2024","AC Wailea","2024-12-21 12:15:02"
"20","NON-OP INC & EXP DETAIL","Real Estate Tax","BD_real_estate_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_real_estate_tax_acwla_1_9_non-op_inc_and_exp_detail","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","44930.19","539162.32","0.03","2024","AC Wailea","2024-12-21 12:15:02"
"21","NON-OP INC & EXP DETAIL","Property Tax","BD_property_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_property_tax_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"22","NON-OP INC & EXP DETAIL","Prior Year Adj Tax","BD_prior_year_adj_tax_acwla_1_9_non-op_inc_and_exp_detail","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_prior_year_adj_tax_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"23","NON-OP INC & EXP DETAIL","Guest Accidents","BD_guest_accidents_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.3","Insurance",,,"BD_guest_accidents_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"24","NON-OP INC & EXP DETAIL","Casualty Insurance","BD_casualty_insurance_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.3","Insurance",,,"BD_casualty_insurance_acwla_1_9_non-op_inc_and_exp_detail","4348.32","4687.41","4585.94","4552.23","3757.50","4016.80","4630.87","4705.61","3721.29","4022.48","3949.61","5329.65","52307.71","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"25","NON-OP INC & EXP DETAIL","Land Rent","BD_land_rent_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_land_rent_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"26","NON-OP INC & EXP DETAIL","Chain Services","BD_chain_services_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_chain_services_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"27","NON-OP INC & EXP DETAIL","Lease Payments","BD_lease_payments_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_lease_payments_acwla_1_9_non-op_inc_and_exp_detail","300.00","300.00","300.00","300.00","300.00","300.00","300.00","300.00","300.00","300.00","300.00","300.00","3600.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"28","NON-OP INC & EXP DETAIL","Property Insurance","BD_property_insurance_acwla_1_9_non-op_inc_and_exp_detail","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.3","Insurance",,,"BD_property_insurance_acwla_1_9_non-op_inc_and_exp_detail","32261.46","32261.46","32261.46","35165.00","35165.00","35165.00","35165.00","35165.00","35165.00","35165.00","35165.00","35165.00","413269.38","10.27","2024","AC Wailea","2024-12-21 12:15:02"
"29","NON-OP INC & EXP DETAIL","Permits & Licenses","BD_permits_and_licenses_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_permits_and_licenses_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"30","NON-OP INC & EXP DETAIL","Prior Year Adjustment","BD_prior_year_adjustment_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_prior_year_adjustment_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"31","NON-OP INC & EXP DETAIL","Loan Repayment - Principal","BD_loan_repayment_principal_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_loan_repayment_principal_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"32","NON-OP INC & EXP DETAIL","Loan Repayment - Interest","BD_loan_repayment_interest_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_loan_repayment_interest_acwla_1_9_non-op_inc_and_exp_detail","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"33","NON-OP INC & EXP DETAIL","Other","BD_other_acwla_1_9_non-op_inc_and_exp_detail","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_other_acwla_1_9_non-op_inc_and_exp_detail","7341.01","7673.04","8577.62","8021.29","7467.00","6698.57","6969.99","7513.13","8047.39","8380.54","8586.78","6017.96","91294.32","0.01","2024","AC Wailea","2024-12-21 12:15:02"
"34","NON-OP INC & EXP DETAIL","EBITDA","BD_ebitda_acwla_1_9_non-op_inc_and_exp_detail","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"BD_ebitda_acwla_1_9_non-op_inc_and_exp_detail","601112.86","704050.79","656897.52","682932.99","517438.59","471298.97","705703.58","728614.89","444274.06","492571.63","511973.95","922859.53","7439729.37","0.42","2024","AC Wailea","2024-12-21 12:15:02"
"35","NON-OP INC & EXP DETAIL","REPLACEMENT RESERVE","BD_replacement_reserve_acwla_1_9_non-op_inc_and_exp_detail","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve","-",,"BD_replacement_reserve_acwla_1_9_non-op_inc_and_exp_detail","72794.62","78471.35","76772.63","76208.34","62903.75","67244.67","77524.86","78775.92","62297.69","67339.89","66119.83","89223.02","875676.57","0.05","2024","AC Wailea","2024-12-21 12:15:02"
"36","NON-OP INC & EXP DETAIL","Retained Profit/(Loss)","BD_retained_profit_loss_acwla_1_9_non-op_inc_and_exp_detail","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve","IS.3.3.1","NOI after Reserve","-",,"BD_retained_profit_loss_acwla_1_9_non-op_inc_and_exp_detail","528318.25","625579.44","580124.89","606724.65","454534.84","404054.31","628178.73","649838.97","381976.37","425231.74","445854.12","833636.51","6564052.80","0.37","2024","AC Wailea","2024-12-21 12:15:02"
"37",,"Total Operating Income","calc_BD_total_operating_income_acwla_1_9","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_acwla_1_9","1455892.30","1569427.00","1535452.69","1524166.85","1258075.09","1344893.30","1550497.14","1575518.37","1245953.71","1346797.83","1322396.60","1784460.45","17513531.33",,"2024","AC Wailea","2024-12-21 12:15:02"
"38",,"Total Department Expense","calc_BD_total_department_expense_acwla_1_9","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_acwla_1_9","334999.72","327224.65","354213.17","353382.14","268313.83","352994.95","316620.13","305152.36","293776.46","322664.33","313471.60","315045.43","3857858.76",,"2024","AC Wailea","2024-12-21 12:15:02"
"39",,"Department Profit (Loss)","calc_BD_department_profit_loss_acwla_1_9","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_acwla_1_9","1120892.58","1242202.35","1181239.52","1170784.71","989761.26","991898.35","1233877.01","1270366.01","952177.25","1024133.50","1008925.00","1469415.02","13655672.57",,"2024","AC Wailea","2024-12-21 12:15:02"
"40",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_acwla_1_9","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_acwla_1_9","340512.06","310926.18","348035.09","325851.95","310945.34","332675.44","324615.71","336843.11","327296.07","342597.17","309752.11","327682.68","3937732.90",,"2024","AC Wailea","2024-12-21 12:15:02"
"41",,"GOP Margin","calc_BD_gop_margin_acwla_1_9","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_acwla_1_9","53.41","59.18","54.11","55.29","53.83","48.82","58.45","59.12","50.05","50.46","52.74","63.86","55.34",,"2024","AC Wailea","2024-12-21 12:15:02"
"42",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_acwla_1_9","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_acwla_1_9","690293.84","793902.89","747552.74","775901.71","609058.27","562409.53","797699.64","821228.81","536437.94","585369.84","604905.53","1014602.35","8539363.11",,"2024","AC Wailea","2024-12-21 12:15:02"
"43",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_acwla_1_9","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_acwla_1_9","89180.98","89852.10","90655.21","92968.71","91619.69","91110.56","91996.05","92613.93","92163.87","92798.21","92931.58","91742.80","1099633.73",,"2024","AC Wailea","2024-12-21 12:15:02"
"44",,"NOI Margin","calc_BD_noi_margin_acwla_1_9","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_acwla_1_9","36.29","39.86","37.78","39.81","36.13","30.04","40.51","41.25","30.66","31.57","33.72","46.72","37.48",,"2024","AC Wailea","2024-12-21 12:15:02"
"45",,"AVAILABLE ROOMS","BD_available_rooms_ctyrd_5_1","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms","0","0",,,"BD_available_rooms_ctyrd_5_1","9734.00","9106.00","9734.00","9420.00","9734.00","9420.00","9734.00","9734.00","9420.00","9734.00","9420.00","9734.00","114924.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"46",,"OCCUPIED ROOMS","BD_occupied_rooms_ctyrd_5_1","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"BD_occupied_rooms_ctyrd_5_1","6132.00","6921.00","8615.00","8337.00","8469.00","7724.00","7982.00","8079.00","7819.00","8177.00","7442.00","6716.00","92413.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"47",,"OCCUPANCY","BD_occupancy_ctyrd_5_1","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"BD_occupancy_ctyrd_5_1","63.00","76.00","88.50","88.50","87.00","82.00","82.00","83.00","83.00","84.00","79.00","69.00","80.40",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"48",,"ADR","BD_adr_ctyrd_5_1","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"BD_adr_ctyrd_5_1","186.01","174.99","184.99","189.99","209.99","202.99","203.52","208.85","216.17","221.79","198.60","195.51","200.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"49",,"REV PAR","BD_rev_par_ctyrd_5_1","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"BD_rev_par_ctyrd_5_1","117.18","133.00","163.72","168.15","182.70","166.45","166.88","173.34","179.43","186.31","156.89","134.90","160.82",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"50","REVENUE","ROOMS","BD_rooms_ctyrd_5_1_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_ctyrd_5_1_revenue","1140630.00","1211098.00","1593699.00","1583973.00","1778402.00","1567919.00","1624458.00","1687286.00","1690226.00","1813567.00","1477944.00","1313068.00","18482270.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"51","REVENUE","FOOD & BEVERAGE","BD_food_and_beverage_ctyrd_5_1_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_food_and_beverage_ctyrd_5_1_revenue","94421.00","105615.00","142856.00","141477.00","143425.00","136735.00","135133.00","142280.00","140528.00","145432.00","136207.00","120820.00","1584929.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"52","REVENUE","OTHER OPERATED DEPARTMENTS","BD_other_operated_departments_ctyrd_5_1_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_operated_departments_ctyrd_5_1_revenue","60436.00","68129.00","84645.00","117784.00","119639.00","109171.00","124769.00","126278.00","122235.00","127802.00","116372.00","105083.00","1282344.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"53","DEPARTMENT EXPENSES","ROOMS","BD_rooms_ctyrd_5_1_department_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.13","Hourly Wages",,,"BD_rooms_ctyrd_5_1_department_expenses","254851.00","248765.00","295530.00","286530.00","303751.00","276515.00","292103.00","293982.00","291518.00","296806.00","275797.00","261266.00","3377416.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"54","DEPARTMENT EXPENSES","FOOD & BEVERAGE","BD_food_and_beverage_ctyrd_5_1_department_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_food_and_beverage_ctyrd_5_1_department_expenses","78360.00","74935.00","87309.00","84742.00","88127.00","81978.00","86000.00","84670.00","84275.00","86577.00","83116.00","81027.00","1001116.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"55","DEPARTMENT EXPENSES","OTHER OPERATED DEPARTMENTS","BD_other_operated_departments_ctyrd_5_1_department_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense",,,"BD_other_operated_departments_ctyrd_5_1_department_expenses","6674.00","7533.00","9377.00","9182.00","9327.00","8506.00","8826.00","8934.00","8646.00","9042.00","8229.00","7427.00","101703.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"56","UNDISTRIBUTED OPERATING EXPENSES","ADMINISTRATIVE & GENERAL","BD_administrative_and_general_ctyrd_5_1_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_administrative_and_general_ctyrd_5_1_undistributed_operating_expenses","89782.00","89732.00","100190.00","102340.00","107483.00","97807.00","105537.00","102835.00","102550.00","112925.00","100360.00","93298.00","1204839.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"57","UNDISTRIBUTED OPERATING EXPENSES","INFORMATION & TELECOMMUNICATIONS","BD_information_and_telecommunications_ctyrd_5_1_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.8","TOTAL I&TS CONT.",,,"BD_information_and_telecommunications_ctyrd_5_1_undistributed_operating_expenses","7655.00","7655.00","8105.00","8105.00","8105.00","8105.00","8105.00","8105.00","8105.00","8105.00","8105.00","8105.00","96364.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"58","UNDISTRIBUTED OPERATING EXPENSES","SALES & MARKETING","BD_sales_and_marketing_ctyrd_5_1_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_sales_and_marketing_ctyrd_5_1_undistributed_operating_expenses","200671.00","197505.00","244327.00","242346.00","263443.00","241390.00","247904.00","251589.00","253923.00","266497.00","229430.00","210266.00","2849291.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"59","UNDISTRIBUTED OPERATING EXPENSES","PROPERTY OPERATIONS & MAINTENANCE","BD_property_operations_and_maintenance_ctyrd_5_1_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.5","Hourly Wages",,,"BD_property_operations_and_maintenance_ctyrd_5_1_undistributed_operating_expenses","67618.00","62788.00","69957.00","64923.00","67375.00","67512.00","66704.00","65732.00","69457.00","66519.00","65874.00","69785.00","804243.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"60","UNDISTRIBUTED OPERATING EXPENSES","UTILITIES","BD_utilities_ctyrd_5_1_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_utilities_ctyrd_5_1_undistributed_operating_expenses","46542.00","50800.00","61080.00","48688.00","53693.00","49356.00","69364.00","87980.00","69120.00","49798.00","47182.00","44258.00","677863.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
